time,lat,lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,cell_set_type,cell_set_type_v2,throughput,rtt,disruption,thput_confidence_level,bw,time_delta,cell_num,width,avg_speed
1640549272,-86.16176341,39.76823209,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,85.60000014,1,10,0.0
1640549274,-86.16176332,39.76823192,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,86.67000008,1,10,0.0
1640549275,-86.16176335,39.76823189,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0.19816,None,None,1,10,87.75,1,10,0.028007999999999998
1640549276,-86.16176344,39.76823185,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,50.77296,None,None,1,10,88.81000018,1,10,23.700472
1640549277,-86.1617635,39.76823186,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,43.73376,None,None,1,10,89.8900001,1,10,43.209616000000004
1640549278,-86.16176361,39.76823178,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,24.64368,None,None,1,10,90.96000004,1,10,23.224359999999997
1640549279,-86.16176361,39.76823175,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,53.56,None,None,1,10,92.03000021,1,10,44.632824
1640549280,-86.1617636,39.76823175,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,48.53936,None,None,1,10,93.10000014,1,10,46.12204799999999
1640549281,-86.16176358,39.76823176,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,47.26256,None,None,1,10,94.17000008,1,10,42.50854400000001
1640549282,-86.1617636,39.76823178,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,22.09408,None,None,1,10,95.25,1,10,19.605232
1640549283,-86.16176365,39.76823179,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,28.87712,None,None,1,10,96.31000018,1,10,24.739776
1640549284,-86.16176382,39.76823169,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,97.3900001,1,10,28.837184
1640549285,-86.16176411,39.7682315,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,20.14784,None,None,1,10,98.46000004,1,10,26.672152
1640549286,-86.16176411,39.76823146,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,20.29072,None,None,1,10,99.53000021,1,10,19.128287999999998
1640549287,-86.16176408,39.76823139,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,23.02496,None,None,1,10,100.6000001,1,10,17.259664
1640549289,-86.16176408,39.76823131,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.4416,None,None,1,10,101.6700001,1,10,14.494320000000002
1640549290,-86.16176411,39.76823116,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,23.19104,None,None,1,10,102.75,1,10,18.995824
1640549291,-86.16176394,39.76823086,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,9.31936,None,None,1,10,103.8100002,1,10,16.760096
1640549292,-86.16176398,39.76823071,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.97648,None,None,1,10,104.8900001,1,10,15.82896
1640549293,-86.16176399,39.76823032,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.08368,None,None,1,10,105.96,1,10,12.766831999999999
1640549294,-86.16176411,39.76822998,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.81184,None,None,1,10,107.0300002,1,10,12.6692
1640549295,-86.16176477,39.76822929,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,23.64832,None,None,1,10,108.1000001,1,10,19.371032000000003
1640549296,-86.16176523,39.76822879,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,18.4344,None,None,1,10,109.1700001,1,10,19.527791999999998
1640549297,-86.16176537,39.76822861,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,7.79728,None,None,1,10,110.25,1,10,17.524335999999998
1640549298,-86.16176588,39.76822817,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,10.81472,None,None,1,10,111.3100002,1,10,14.670223999999996
1640549299,-86.16176602,39.76822803,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,13.98128,None,None,1,10,112.3900001,1,10,10.302128
1640549300,-86.16176646,39.76822762,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,6.68176,None,None,1,10,113.46,1,10,15.489664000000001
1640549301,-86.16176664,39.7682275,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,10.04672,None,None,1,10,114.5300002,1,10,9.511552
1640549302,-86.16176702,39.76822717,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,13.3144,None,None,1,10,115.6000001,1,10,13.674783999999999
1640549304,-86.16176719,39.76822703,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,11.41856,None,None,1,10,116.6700001,1,10,12.376032
1640549305,-86.16176769,39.76822662,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,11.51104,None,None,1,10,117.75,1,10,11.69752
1640549306,-86.16176819,39.76822622,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.65424,None,None,1,10,118.8100002,1,10,10.934128
1640549307,-86.16176854,39.7682259,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.30416,None,None,1,10,119.8900001,1,10,12.015343999999997
1640549308,-86.16176866,39.76822576,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,12.56544,None,None,1,10,120.96,1,10,14.184047999999999
1640549309,-86.16176883,39.76822556,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,10.1528,None,None,1,10,122.0300002,1,10,12.529248
1640549310,-86.16176896,39.76822544,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,18.32416,None,None,1,10,123.1000001,1,10,15.58832
1640549311,-86.16176915,39.76822528,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,124.1700001,1,10,10.839023999999998
1640549312,-86.16176931,39.76822519,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,9.69824,None,None,1,10,125.25,1,10,10.29056
1640549313,-86.16176959,39.76822501,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,13.2336,None,None,1,10,126.3100002,1,10,14.147775999999999
1640549314,-86.16176985,39.76822483,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,10.01264,None,None,1,10,127.3900001,1,10,8.703648
1640549315,-86.16177006,39.7682247,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,6.46864,None,None,1,10,128.46,1,10,7.946016
1640549316,-86.16177034,39.76822447,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,9.97312,None,None,1,10,129.5300002,1,10,9.386911999999999
1640549317,-86.16177063,39.76822429,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,18.82096,None,None,1,10,130.6000001,1,10,14.108528000000002
1640549319,-86.16177077,39.76822423,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.6784,None,None,1,10,131.6700001,1,10,15.801952000000004
1640549320,-86.16177099,39.76822404,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.07328,None,None,1,10,132.75,1,10,14.425456000000002
1640549321,-86.16177126,39.76822383,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,7.28528,None,None,1,10,133.8100002,1,10,9.95424
1640549322,-86.16177141,39.76822371,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,12.67472,None,None,1,10,134.8900001,1,10,10.494335999999999
1640549323,-86.16177159,39.76822353,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,14.6032,None,None,1,10,135.96,1,10,12.937383999999998
1640549324,-86.16177168,39.76822341,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,13.86016,None,None,1,10,137.0300002,1,10,15.924959999999999
1640549325,-86.16177186,39.76822325,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,5.97184,None,None,1,10,138.1000001,1,10,9.487472
1640549326,-86.16177199,39.76822307,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,7.23968,None,None,1,10,139.1700001,1,10,7.030464
1640549327,-86.16177213,39.76822289,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,5.90656,None,None,1,10,140.25,1,10,6.041328
1640549328,-86.16177222,39.76822276,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.31008,None,None,1,10,141.3100002,1,10,6.0727519999999995
1640549329,-86.16177241,39.76822256,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.5632,None,None,1,10,142.3900001,1,10,9.770224
1640549330,-86.16177254,39.76822244,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,9.0096,None,None,1,10,143.46,1,10,7.9414240000000005
1640549331,-86.16177272,39.76822225,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,5.60448,None,None,1,10,144.5300002,1,10,8.059135999999999
1640549332,-86.16177289,39.76822193,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.15936,None,None,1,10,145.6000001,1,10,7.845696000000001
1640549334,-86.16177311,39.76822158,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,6.44144,None,None,1,10,146.6700001,1,10,7.4848
1640549335,-86.16177336,39.76822124,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,8.72784,None,None,1,10,147.75,1,10,8.093824000000001
1640549336,-86.16177353,39.768221,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,10.93264,None,None,1,10,148.8100002,1,10,10.586400000000001
1640549337,-86.16177364,39.76822093,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,149.8900001,1,10,0.0
1640549338,-86.16177376,39.76822066,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,150.96,1,10,0.0
1640549339,-86.16177383,39.76822073,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,152.0300002,1,10,0.0
1640549340,-86.16177383,39.76822071,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,153.1000001,1,10,0.0
1640549341,-86.16177387,39.76822066,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,15.75776,None,None,1,10,154.1700001,1,10,3.105056
1640549342,-86.16177392,39.76822056,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0.03936,None,None,1,10,155.25,1,10,16.203647999999998
1640549343,-86.16177405,39.76822042,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,156.3100002,1,10,2.08592
1640549344,-86.16177452,39.76822011,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,0,None,None,1,10,157.3900001,1,10,0.093808
1640549345,-86.16177473,39.76822,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,41.55456,None,None,1,10,158.46,1,10,32.612
1640549346,-86.16177475,39.76822006,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,12.51008,None,None,1,10,159.5300002,1,10,34.547760000000004
1640549347,-86.16177476,39.76822009,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,45.63504,None,None,1,10,160.6000001,1,10,40.294560000000004
1640549349,-86.16177477,39.76822011,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,57.6008,None,None,1,10,161.6700001,1,10,45.81439999999999
1640549350,-86.16177477,39.76822015,369,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,LTE,44.12432,None,None,1,10,162.75,1,10,37.309231999999994
1640549351,-86.16177477,39.76822022,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,44.51472,None,None,1,420,163.8100002,5,420,35.316624000000004
