grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-87.6835,41.8775,2301,0,0,971,0.421990439,971,0.421990439,1330,0.578009561,9,0,0,4,0.444444444,4,0.444444444,5,0.555555556
-87.6835,41.878,474,0,0,207,0.436708861,207,0.436708861,267,0.563291139,9,0,0,4,0.444444444,4,0.444444444,5,0.555555556
-87.6835,41.8785,1296,0,0,583,0.449845679,583,0.449845679,713,0.550154321,11,0,0,5,0.454545455,5,0.454545455,6,0.545454545
-87.6835,41.879,6623,0,0,6358,0.959987921,6358,0.959987921,265,0.040012079,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.8795,1103,0,0,758,0.687216682,758,0.687216682,345,0.312783318,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.88,915,0,0,540,0.590163934,540,0.590163934,375,0.409836066,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.8805,1274,0,0,1016,0.797488226,1016,0.797488226,258,0.202511774,12,0,0,7,0.583333333,7,0.583333333,5,0.416666667
-87.6835,41.881,2654,0,0,1527,0.57535795,1527,0.57535795,1127,0.42464205,14,0,0,8,0.571428571,8,0.571428571,6,0.428571429
-87.6835,41.8815,488,0,0,229,0.469262295,229,0.469262295,259,0.530737705,4,0,0,3,0.75,3,0.75,1,0.25
-87.6835,41.882,838,0,0,473,0.564439141,473,0.564439141,365,0.435560859,8,0,0,6,0.75,6,0.75,2,0.25
-87.6835,41.8825,560,0,0,516,0.921428571,516,0.921428571,44,0.078571429,10,0,0,7,0.7,7,0.7,3,0.3
-87.6835,41.883,781,0,0,510,0.653008963,510,0.653008963,271,0.346991037,14,0,0,11,0.785714286,11,0.785714286,3,0.214285714
-87.6835,41.8835,86,0,0,0,0,0,0,86,1,1,0,0,0,0,0,0,1,1
-87.683,41.881,356,0,0,258,0.724719101,258,0.724719101,98,0.275280899,6,0,0,3,0.5,3,0.5,3,0.5
-87.683,41.883,685,0,0,192,0.280291971,192,0.280291971,493,0.719708029,20,0,0,11,0.55,11,0.55,9,0.45
-87.682,41.8775,417,0,0,183,0.438848921,183,0.438848921,234,0.561151079,18,0,0,9,0.5,9,0.5,9,0.5
-87.6815,41.8775,2176,0,0,1144,0.525735294,1144,0.525735294,1032,0.474264706,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6815,41.8785,1826,0,0,1632,0.893756846,1632,0.893756846,194,0.106243154,30,0,0,24,0.8,24,0.8,6,0.2
-87.6815,41.879,819,0,0,739,0.902319902,739,0.902319902,80,0.097680098,24,0,0,22,0.916666667,22,0.916666667,2,0.083333333
-87.6815,41.8795,1788,0,0,1722,0.963087248,1722,0.963087248,66,0.036912752,37,0,0,31,0.837837838,31,0.837837838,6,0.162162162
-87.6815,41.88,2793,0,0,2650,0.948800573,2650,0.948800573,143,0.051199427,39,0,0,35,0.897435897,35,0.897435897,4,0.102564103
-87.6815,41.8805,2872,0,0,2476,0.862116992,2476,0.862116992,396,0.137883008,89,0,0,70,0.786516854,70,0.786516854,19,0.213483146
-87.6815,41.881,10293,0,0,8747,0.849800836,8747,0.849800836,1546,0.150199164,152,0,0,101,0.664473684,101,0.664473684,51,0.335526316
-87.6815,41.8815,2492,0,0,2058,0.825842697,2058,0.825842697,434,0.174157303,52,0,0,40,0.769230769,40,0.769230769,12,0.230769231
-87.6815,41.882,7079,0,0,6275,0.886424636,6275,0.886424636,804,0.113575364,74,0,0,58,0.783783784,58,0.783783784,16,0.216216216
-87.6815,41.8825,4837,0,0,4282,0.885259458,4282,0.885259458,555,0.114740542,47,0,0,37,0.787234043,37,0.787234043,10,0.212765957
-87.6815,41.883,4764,0,0,4456,0.935348447,4456,0.935348447,308,0.064651553,47,0,0,37,0.787234043,37,0.787234043,10,0.212765957
-87.6815,41.8835,2318,0,0,2097,0.904659189,2097,0.904659189,221,0.095340811,20,0,0,17,0.85,17,0.85,3,0.15
-87.6815,41.884,1114,0,0,1055,0.947037702,1055,0.947037702,59,0.052962298,11,0,0,10,0.909090909,10,0.909090909,1,0.090909091
-87.6815,41.8845,2638,0,0,2562,0.971190296,2562,0.971190296,76,0.028809704,13,0,0,11,0.846153846,11,0.846153846,2,0.153846154
-87.6815,41.885,623,0,0,574,0.921348315,574,0.921348315,49,0.078651685,10,0,0,9,0.9,9,0.9,1,0.1
-87.6815,41.8855,674,0,0,622,0.922848665,622,0.922848665,52,0.077151335,10,0,0,9,0.9,9,0.9,1,0.1
-87.6815,41.886,644,0,0,589,0.914596273,589,0.914596273,55,0.085403727,10,0,0,9,0.9,9,0.9,1,0.1
-87.681,41.8775,2974,0,0,2684,0.902488231,2684,0.902488231,290,0.097511769,40,0,0,31,0.775,31,0.775,9,0.225
-87.681,41.878,1610,0,0,1361,0.845341615,1361,0.845341615,249,0.154658385,58,0,0,40,0.689655172,40,0.689655172,18,0.310344828
-87.681,41.8785,6734,0,0,5386,0.7998218,5386,0.7998218,1348,0.2001782,72,0,0,54,0.75,54,0.75,18,0.25
-87.681,41.879,2362,0,0,2048,0.867061812,2048,0.867061812,314,0.132938188,45,0,0,38,0.844444444,38,0.844444444,7,0.155555556
-87.681,41.8795,4603,0,0,3534,0.767760156,3534,0.767760156,1069,0.232239844,44,0,0,37,0.840909091,37,0.840909091,7,0.159090909
-87.681,41.88,1401,0,0,990,0.706638116,990,0.706638116,411,0.293361884,33,0,0,27,0.818181818,27,0.818181818,6,0.181818182
-87.681,41.8805,407,0,0,278,0.683046683,278,0.683046683,129,0.316953317,13,0,0,10,0.769230769,10,0.769230769,3,0.230769231
-87.681,41.881,5380,0,0,4809,0.893866171,4809,0.893866171,571,0.106133829,109,0,0,76,0.697247706,76,0.697247706,33,0.302752294
-87.681,41.8815,396,0,0,294,0.742424242,294,0.742424242,102,0.257575758,18,0,0,11,0.611111111,11,0.611111111,7,0.388888889
-87.681,41.882,1090,0,0,1048,0.96146789,1048,0.96146789,42,0.03853211,25,0,0,22,0.88,22,0.88,3,0.12
-87.681,41.8825,124,0,0,124,1,124,1,0,0,2,0,0,2,1,2,1,0,0
-87.681,41.883,1212,0,0,1028,0.848184818,1028,0.848184818,184,0.151815182,16,0,0,13,0.8125,13,0.8125,3,0.1875
-87.681,41.8845,125,0,0,125,1,125,1,0,0,2,0,0,2,1,2,1,0,0
-87.6805,41.8775,455,0,0,376,0.826373626,376,0.826373626,79,0.173626374,12,0,0,9,0.75,9,0.75,3,0.25
-87.6805,41.8785,23409,0,0,23125,0.987867914,23125,0.987867914,284,0.012132086,82,0,0,58,0.707317073,58,0.707317073,24,0.292682927
-87.6805,41.881,1833,0,0,1562,0.852154937,1562,0.852154937,271,0.147845063,45,0,0,37,0.822222222,37,0.822222222,8,0.177777778
-87.6805,41.882,693,0,0,662,0.955266955,662,0.955266955,31,0.044733045,16,0,0,15,0.9375,15,0.9375,1,0.0625
-87.6805,41.883,699,0,0,619,0.885550787,619,0.885550787,80,0.114449213,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.6805,41.8845,78,0,0,78,1,78,1,0,0,2,0,0,2,1,2,1,0,0
-87.68,41.8775,426,0,0,354,0.830985915,354,0.830985915,72,0.169014085,10,0,0,8,0.8,8,0.8,2,0.2
-87.68,41.8785,2982,0,0,2513,0.842723005,2513,0.842723005,469,0.157276995,123,0,0,81,0.658536585,81,0.658536585,42,0.341463415
-87.68,41.881,1762,0,0,1458,0.827468785,1458,0.827468785,304,0.172531215,79,0,0,61,0.772151899,61,0.772151899,18,0.227848101
-87.68,41.882,670,0,0,642,0.958208955,642,0.958208955,28,0.041791045,16,0,0,15,0.9375,15,0.9375,1,0.0625
-87.68,41.883,683,0,0,603,0.882869693,603,0.882869693,80,0.117130307,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.6795,41.8775,454,0,0,380,0.837004405,380,0.837004405,74,0.162995595,10,0,0,8,0.8,8,0.8,2,0.2
-87.6795,41.8785,2223,0,0,1975,0.888439046,1975,0.888439046,248,0.111560954,95,0,0,68,0.715789474,68,0.715789474,27,0.284210526
-87.6795,41.881,1827,0,0,1604,0.877941981,1604,0.877941981,223,0.122058019,65,0,0,55,0.846153846,55,0.846153846,10,0.153846154
-87.6795,41.882,773,0,0,741,0.958602846,741,0.958602846,32,0.041397154,16,0,0,15,0.9375,15,0.9375,1,0.0625
-87.6795,41.883,705,0,0,619,0.878014184,619,0.878014184,86,0.121985816,15,0,0,12,0.8,12,0.8,3,0.2
-87.679,41.8775,1097,0,0,1008,0.918869644,1008,0.918869644,89,0.081130356,18,0,0,16,0.888888889,16,0.888888889,2,0.111111111
-87.679,41.878,178,0,0,174,0.97752809,174,0.97752809,4,0.02247191,7,0,0,6,0.857142857,6,0.857142857,1,0.142857143
-87.679,41.8785,2731,0,0,2451,0.897473453,2451,0.897473453,280,0.102526547,67,0,0,53,0.791044776,53,0.791044776,14,0.208955224
-87.679,41.881,3416,0,0,2903,0.849824356,2903,0.849824356,513,0.150175644,71,0,0,58,0.816901408,58,0.816901408,13,0.183098592
-87.679,41.882,2307,0,0,2219,0.961855223,2219,0.961855223,88,0.038144777,23,0,0,19,0.826086957,19,0.826086957,4,0.173913043
-87.679,41.8825,207,0,0,201,0.971014493,201,0.971014493,6,0.028985507,5,0,0,4,0.8,4,0.8,1,0.2
-87.679,41.883,1050,0,0,939,0.894285714,939,0.894285714,111,0.105714286,16,0,0,14,0.875,14,0.875,2,0.125
-87.6785,41.8775,715,0,0,548,0.766433566,548,0.766433566,167,0.233566434,16,0,0,12,0.75,12,0.75,4,0.25
-87.6785,41.8785,3007,0,0,2790,0.927835052,2790,0.927835052,217,0.072164948,61,0,0,53,0.868852459,53,0.868852459,8,0.131147541
-87.6785,41.881,2896,0,0,2552,0.88121547,2552,0.88121547,344,0.11878453,50,0,0,45,0.9,45,0.9,5,0.1
-87.6785,41.882,959,0,0,880,0.917622523,880,0.917622523,79,0.082377477,48,0,0,36,0.75,36,0.75,12,0.25
-87.6785,41.883,3122,0,0,2822,0.903907751,2822,0.903907751,300,0.096092249,38,0,0,27,0.710526316,27,0.710526316,11,0.289473684
-87.678,41.8785,2095,0,0,1903,0.908353222,1903,0.908353222,192,0.091646778,61,0,0,51,0.836065574,51,0.836065574,10,0.163934426
-87.678,41.881,1972,0,0,1758,0.89148073,1758,0.89148073,214,0.10851927,69,0,0,56,0.811594203,56,0.811594203,13,0.188405797
-87.678,41.882,835,0,0,751,0.899401198,751,0.899401198,84,0.100598802,37,0,0,28,0.756756757,28,0.756756757,9,0.243243243
-87.678,41.883,837,0,0,692,0.826762246,692,0.826762246,145,0.173237754,50,0,0,35,0.7,35,0.7,15,0.3
-87.678,41.8845,63,0,0,63,1,63,1,0,0,2,0,0,2,1,2,1,0,0
-87.6775,41.8785,1876,0,0,1731,0.922707889,1731,0.922707889,145,0.077292111,55,0,0,47,0.854545455,47,0.854545455,8,0.145454545
-87.6775,41.881,1475,0,0,1269,0.860338983,1269,0.860338983,206,0.139661017,69,0,0,48,0.695652174,48,0.695652174,21,0.304347826
-87.6775,41.882,837,0,0,752,0.898446834,752,0.898446834,85,0.101553166,59,0,0,43,0.728813559,43,0.728813559,16,0.271186441
-87.6775,41.883,816,0,0,733,0.898284314,733,0.898284314,83,0.101715686,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.6775,41.8845,103,0,0,103,1,103,1,0,0,3,0,0,3,1,3,1,0,0
-87.677,41.8785,1777,0,0,1637,0.921215532,1637,0.921215532,140,0.078784468,44,0,0,40,0.909090909,40,0.909090909,4,0.090909091
-87.677,41.881,2133,0,0,1901,0.891233005,1901,0.891233005,232,0.108766995,46,0,0,35,0.760869565,35,0.760869565,11,0.239130435
-87.677,41.882,1630,0,0,1345,0.825153374,1345,0.825153374,285,0.174846626,30,0,0,23,0.766666667,23,0.766666667,7,0.233333333
-87.677,41.883,871,0,0,754,0.865671642,754,0.865671642,117,0.134328358,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.677,41.8845,102,0,0,97,0.950980392,97,0.950980392,5,0.049019608,7,0,0,6,0.857142857,6,0.857142857,1,0.142857143
-87.6765,41.8775,16518,0,0,10303,0.623743795,10303,0.623743795,6215,0.376256205,432,0,0,239,0.553240741,239,0.553240741,193,0.446759259
-87.6765,41.878,4559,0,0,3160,0.693134459,3160,0.693134459,1399,0.306865541,159,0,0,101,0.635220126,101,0.635220126,58,0.364779874
-87.6765,41.8785,13184,0,0,8764,0.664745146,8764,0.664745146,4420,0.335254854,373,0,0,227,0.608579088,227,0.608579088,146,0.391420912
-87.6765,41.879,6103,0,0,3999,0.655251516,3999,0.655251516,2104,0.344748484,157,0,0,107,0.681528662,107,0.681528662,50,0.318471338
-87.6765,41.8795,12293,0,0,7554,0.614496055,7554,0.614496055,4739,0.385503945,216,0,0,140,0.648148148,140,0.648148148,76,0.351851852
-87.6765,41.88,9803,0,0,8123,0.828623891,8123,0.828623891,1680,0.171376109,114,0,0,96,0.842105263,96,0.842105263,18,0.157894737
-87.6765,41.8805,7004,0,0,5209,0.743717875,5209,0.743717875,1795,0.256282125,119,0,0,93,0.781512605,93,0.781512605,26,0.218487395
-87.6765,41.881,40475,0,0,26647,0.658357011,26647,0.658357011,13828,0.341642989,506,0,0,290,0.57312253,290,0.57312253,216,0.42687747
-87.6765,41.8815,10674,0,0,8511,0.797358066,8511,0.797358066,2163,0.202641934,105,0,0,71,0.676190476,71,0.676190476,34,0.323809524
-87.6765,41.882,14181,0,0,9742,0.686975531,9742,0.686975531,4439,0.313024469,127,0,0,84,0.661417323,84,0.661417323,43,0.338582677
-87.6765,41.8825,5634,0,0,3752,0.665956692,3752,0.665956692,1882,0.334043308,67,0,0,44,0.656716418,44,0.656716418,23,0.343283582
-87.6765,41.883,12989,0,0,10512,0.809300177,10512,0.809300177,2477,0.190699823,73,0,0,52,0.712328767,52,0.712328767,21,0.287671233
-87.6765,41.8835,3285,0,0,2869,0.873363775,2869,0.873363775,416,0.126636225,30,0,0,24,0.8,24,0.8,6,0.2
-87.6765,41.884,1453,0,0,1226,0.843771507,1226,0.843771507,227,0.156228493,69,0,0,46,0.666666667,46,0.666666667,23,0.333333333
-87.6765,41.8845,2049,0,0,1875,0.915080527,1875,0.915080527,174,0.084919473,41,0,0,31,0.756097561,31,0.756097561,10,0.243902439
-87.6765,41.885,1425,0,0,1284,0.901052632,1284,0.901052632,141,0.098947368,19,0,0,16,0.842105263,16,0.842105263,3,0.157894737
-87.6765,41.8855,9348,0,0,4815,0.51508344,4815,0.51508344,4533,0.48491656,22,0,0,16,0.727272727,16,0.727272727,6,0.272727273
-87.6765,41.886,1023,0,0,725,0.708699902,725,0.708699902,298,0.291300098,19,0,0,14,0.736842105,14,0.736842105,5,0.263157895
-87.676,41.8775,2089,0,0,1051,0.503111537,1051,0.503111537,1038,0.496888463,80,0,0,50,0.625,50,0.625,30,0.375
-87.676,41.878,426,0,0,162,0.38028169,162,0.38028169,264,0.61971831,10,0,0,3,0.3,3,0.3,7,0.7
-87.676,41.8785,18047,0,0,11208,0.621045049,11208,0.621045049,6839,0.378954951,520,0,0,272,0.523076923,272,0.523076923,248,0.476923077
-87.676,41.881,9216,0,0,6616,0.717881944,6616,0.717881944,2600,0.282118056,142,0,0,90,0.633802817,90,0.633802817,52,0.366197183
-87.676,41.882,4382,0,0,4302,0.981743496,4302,0.981743496,80,0.018256504,26,0,0,23,0.884615385,23,0.884615385,3,0.115384615
-87.676,41.883,5964,0,0,4775,0.800637156,4775,0.800637156,1189,0.199362844,47,0,0,32,0.680851064,32,0.680851064,15,0.319148936
-87.676,41.8845,368,0,0,368,1,368,1,0,0,6,0,0,6,1,6,1,0,0
-87.676,41.885,64,0,0,64,1,64,1,0,0,1,0,0,1,1,1,1,0,0
-87.6755,41.8775,305,0,0,265,0.868852459,265,0.868852459,40,0.131147541,14,0,0,11,0.785714286,11,0.785714286,3,0.214285714
-87.6755,41.8785,3366,0,0,2378,0.70647653,2378,0.70647653,988,0.29352347,78,0,0,59,0.756410256,59,0.756410256,19,0.243589744
-87.6755,41.881,9432,0,0,7567,0.802268872,7567,0.802268872,1865,0.197731128,135,0,0,85,0.62962963,85,0.62962963,50,0.37037037
-87.6755,41.882,1054,0,0,990,0.939278937,990,0.939278937,64,0.060721063,27,0,0,23,0.851851852,23,0.851851852,4,0.148148148
-87.6755,41.883,2699,0,0,1883,0.697665802,1883,0.697665802,816,0.302334198,43,0,0,31,0.720930233,31,0.720930233,12,0.279069767
-87.6755,41.8845,178,0,0,178,1,178,1,0,0,4,0,0,4,1,4,1,0,0
-87.6755,41.885,166,0,0,166,1,166,1,0,0,4,0,0,4,1,4,1,0,0
-87.675,41.8775,483,0,0,434,0.898550725,434,0.898550725,49,0.101449275,26,0,0,23,0.884615385,23,0.884615385,3,0.115384615
-87.675,41.8785,3037,0,0,2194,0.722423444,2194,0.722423444,843,0.277576556,72,0,0,57,0.791666667,57,0.791666667,15,0.208333333
-87.675,41.881,13742,0,0,9162,0.66671518,9162,0.66671518,4580,0.33328482,169,0,0,100,0.591715976,100,0.591715976,69,0.408284024
-87.675,41.882,996,0,0,939,0.942771084,939,0.942771084,57,0.057228916,23,0,0,21,0.913043478,21,0.913043478,2,0.086956522
-87.675,41.883,2550,0,0,1773,0.695294118,1773,0.695294118,777,0.304705882,46,0,0,32,0.695652174,32,0.695652174,14,0.304347826
-87.675,41.8845,76,0,0,76,1,76,1,0,0,3,0,0,3,1,3,1,0,0
-87.675,41.885,261,0,0,261,1,261,1,0,0,8,0,0,8,1,8,1,0,0
-87.6745,41.8775,1730,0,0,1549,0.895375723,1549,0.895375723,181,0.104624277,43,0,0,30,0.697674419,30,0.697674419,13,0.302325581
-87.6745,41.8785,3008,0,0,2160,0.718085106,2160,0.718085106,848,0.281914894,76,0,0,60,0.789473684,60,0.789473684,16,0.210526316
-87.6745,41.881,4767,0,0,3197,0.670652402,3197,0.670652402,1570,0.329347598,74,0,0,53,0.716216216,53,0.716216216,21,0.283783784
-87.6745,41.882,1004,0,0,949,0.945219124,949,0.945219124,55,0.054780876,21,0,0,19,0.904761905,19,0.904761905,2,0.095238095
-87.6745,41.883,2603,0,0,1796,0.689973108,1796,0.689973108,807,0.310026892,45,0,0,32,0.711111111,32,0.711111111,13,0.288888889
-87.6745,41.885,335,0,0,335,1,335,1,0,0,8,0,0,8,1,8,1,0,0
-87.674,41.8775,986,0,0,865,0.877281947,865,0.877281947,121,0.122718053,38,0,0,30,0.789473684,30,0.789473684,8,0.210526316
-87.674,41.8785,3135,0,0,2299,0.733333333,2299,0.733333333,836,0.266666667,68,0,0,55,0.808823529,55,0.808823529,13,0.191176471
-87.674,41.881,16897,0,0,9261,0.548085459,9261,0.548085459,7636,0.451914541,339,0,0,184,0.542772861,184,0.542772861,155,0.457227139
-87.674,41.882,1072,0,0,1017,0.94869403,1017,0.94869403,55,0.05130597,21,0,0,19,0.904761905,19,0.904761905,2,0.095238095
-87.674,41.883,2861,0,0,2011,0.702901084,2011,0.702901084,850,0.297098916,48,0,0,33,0.6875,33,0.6875,15,0.3125
-87.674,41.885,606,0,0,606,1,606,1,0,0,9,0,0,9,1,9,1,0,0
